Original Sentence	Modified Sentence	Case Rule Applied	Source of Data
Ẹ kú àyẹ́sí	E ku ayesi	remove_accents_and_underdots	greetings
Ẹ kú ìnáwó	E ku inawo	remove_accents_and_underdots	greetings
Ẹ kú ìkúnra	E ku ikunra	remove_accents_and_underdots	greetings
Ẹ kú ìgbúròó.	E ku igburoo.	remove_accents_and_underdots	greetings
A kú ọ̀rọ̀ ara wa	A ku oro ara wa	remove_accents_and_underdots	greetings
Ẹ kú àtẹ̀mọ́ra	E ku atemora	remove_accents_and_underdots	greetings
Ẹ kú àṣẹ̀yìndè	E ku aseyinde	remove_accents_and_underdots	greetings
Ẹ kú ìdèlé	E ku idele	remove_accents_and_underdots	greetings
Ẹ kú ìtọ́jú	E ku itoju	remove_accents_and_underdots	greetings
Ẹ kú etígbọ̀ọ́	ku etigbọọ	remove_only_accents_and_any_random_word	greetings
Ara ire yóò gbà á	Ara ire yoo gba a	remove_only_accents	greetings
Ó dígbà	O digba	remove_accents_and_underdots	greetings
Ẹ ṣe é	E se e	remove_accents_and_underdots	greetings
Ó dàárọ̀	O daaro	remove_accents_and_underdots	greetings
Ó dábọ̀	O dabo	remove_accents_and_underdots	greetings
Ẹ kú ọjọ́ ìbí	Ẹ ọjọ ibi	remove_only_accents_and_any_random_word	greetings
Ẹ kú ọdún tuntun	E ku odun tuntun	remove_accents_and_underdots	greetings
Ẹ kú ọdún kérésì	Ẹ ku keresi ọdun	remove_only_accents_and_swap_word	greetings
Ẹ pẹ̀lẹ́	E pele	remove_accents_and_underdots	greetings
Ẹ má bìnú	Ẹ ma binu	remove_only_accents	greetings
Nítorí mi lẹ fi wá? ẹ kú àyẹ́sí mi.	Nitori mi le fi wa? e ku ayesi mi.	remove_accents_and_underdots	greetings
Ẹ kú àyẹ́sí ọmọ mi.	E ku ayesi omo mi.	remove_accents_and_underdots	greetings
Ǹjẹ́ a lè lọ kí àwọn bàbá yẹn kú àyẹ́sí wa?	Njẹ a le lọ ki awọn baba yẹn ku ayẹsi wa?	remove_only_accents	greetings
Kí ẹ rí i pé ẹ kì àwọn bàbá yẹn kú àyẹ́sí yín.	Ki ẹ ri i pe ẹ ki awọn baba yẹn ku ayẹsi yin.	remove_only_accents	greetings
Kání mo mọ̀, n ò bá ti kí wọn kú àyẹ́sí.	Kani mo mo, n o ba ti ki won ku ayesi.	remove_accents_and_underdots	greetings
Ìyá Ṣọlá, ẹ mà kú ìnáwó.	Iya Sola, e ma ku inawo.	remove_accents_and_underdots	greetings
Ọkọ ìyàwó àti ìyàwó ló yẹ kí o kí kú ìnáwó.	Ọkọ iyawo ati iyawo lo yẹ ki o ki inawo. ku	remove_only_accents_and_swap_word	greetings
Bàbá rẹ̀ mà kú ìnáwó.	Baba re ma ku inawo.	remove_accents_and_underdots	greetings
Ǹjẹ́ o ti kí wọn kú ìnáwó?	Njẹ ti ki wọn ku inawo?	remove_only_accents_and_any_random_word	greetings
Mo fẹ́ lọ kí bàbá mi pé wọ́n kú ìnáwó.	Mo fe lo ki baba mi pe won ku inawo.	remove_accents_and_underdots	greetings
Ìya olóyún, ẹ kú ìkúnra o.	Iya oloyun, e ku ikunra o.	remove_accents_and_underdots	greetings
